Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Overall Rating
Tua Tagovailoa,4624,8.3,560,388,69.3,29,14,101.1,222,39.6,58,11,78,-29,-171,0.7535325394032975
Jared Goff,4575,7.6,605,407,67.3,30,12,97.9,227,37.5,69,9,70,-30,-197,0.7437133646414869
Dak Prescott,4516,7.6,590,410,69.5,36,9,105.9,222,37.6,62,7,92,-39,-255,0.731125245701067
Josh Allen,4306,7.4,579,385,66.5,29,18,92.2,199,34.4,49,9,81,-24,-152,0.735935521099723
Brock Purdy,4280,9.6,444,308,69.4,31,11,113.0,192,43.2,72,14,76,-28,-153,0.7468231832369305
Patrick Mahomes,4183,7.0,597,401,67.2,27,14,92.6,206,34.5,50,8,67,-27,-186,0.7039569982414092
Jordan Love,4159,7.2,579,372,64.2,32,11,96.1,209,36.1,55,7,77,-30,-242,0.6958713633574382
C.J. Stroud,4108,8.2,499,319,63.9,23,5,100.8,188,37.7,66,9,75,-38,-331,0.640330203489188
Baker Mayfield,4044,7.1,566,364,64.3,28,10,94.6,188,33.2,60,12,75,-40,-232,0.6916921533362645
Trevor Lawrence,4016,7.1,564,370,65.6,21,14,88.5,179,31.7,49,9,65,-35,-224,0.659431018611466
Matthew Stafford,3965,7.6,521,326,62.6,24,11,92.5,187,35.9,62,8,80,-30,-205,0.6727700701718953
Sam Howell,3946,6.4,612,388,63.4,21,21,78.9,180,29.4,44,4,51,-65,-449,0.5895007602172456
Derek Carr,3878,7.1,548,375,68.4,25,8,97.7,185,33.8,47,10,58,-31,-218,0.6563005870971609
Jalen Hurts,3858,7.2,538,352,65.4,23,15,89.1,185,34.4,48,7,63,-36,-222,0.6494717593475694
Lamar Jackson,3678,8.0,457,307,67.2,24,7,102.7,167,36.5,51,9,80,-37,-218,0.6349064423821509
Geno Smith,3624,7.3,499,323,64.7,20,9,92.1,169,33.9,46,5,73,-31,-231,0.6060688880580232
Gardner Minshew,3305,6.7,490,305,62.2,15,9,84.6,147,30.0,36,11,75,-34,-187,0.596237140585034
Justin Herbert,3134,6.9,456,297,65.1,20,7,93.2,150,32.9,42,4,60,-29,-233,0.5608214732733308
Russell Wilson,3070,6.9,447,297,66.4,26,8,98.0,135,30.2,36,10,60,-45,-258,0.5769407398953749
